Date,Open,High,Low,Close,Volume
8/10/2018,283.450012,284.059998,282.359985,283.160004,77076000
8/13/2018,283.470001,284.160004,281.769989,282.100006,65732900
8/14/2018,282.920013,284.170013,282.480011,283.899994,43842000
8/15/2018,282.380005,282.540009,280.160004,281.779999,102925400
8/16/2018,283.399994,285.040009,283.359985,284.059998,69967900
8/17/2018,283.829987,285.559998,283.369995,285.059998,65618500
8/20/2018,285.570007,285.970001,285.059998,285.670013,39807500
8/21/2018,286.25,287.309998,285.709991,286.339996,67272000
8/22/2018,285.880005,286.76001,285.579987,286.170013,44993300
8/23/2018,285.970001,286.940002,285.429993,285.790009,49204900
8/24/2018,286.440002,287.670013,286.380005,287.51001,57487400
8/27/2018,288.859985,289.899994,288.679993,289.779999,57072400
8/28/2018,290.299988,290.420013,289.399994,289.920013,46943500
8/29/2018,290.160004,291.73999,289.890015,291.480011,61485500
8/30/2018,290.940002,291.359985,289.630005,290.299988,61229500
8/31/2018,289.839996,290.809998,289.290009,290.309998,66140800
9/4/2018,289.839996,290.209991,288.679993,289.809998,57594400
9/5/2018,289.410004,289.640015,287.890015,289.029999,72452400
9/6/2018,289.149994,289.48999,287,288.160004,65909900
9/7/2018,286.980011,288.700012,286.709991,287.600006,73524800
9/10/2018,288.73999,289.040009,287.880005,288.100006,50210900
9/11/2018,287.369995,289.549988,286.980011,289.049988,50530500
9/12/2018,289.059998,289.799988,288.230011,289.119995,59810800
9/13/2018,290.320007,291.040009,290,290.829987,51034200
9/14/2018,291.059998,291.269989,290,290.880005,55079900
9/17/2018,290.820007,290.859985,289.029999,289.339996,68244000
9/18/2018,289.579987,291.579987,289.549988,290.910004,61930400
9/19/2018,290.970001,291.690002,290.829987,291.220001,49080600
9/20/2018,292.640015,293.940002,291.23999,293.579987,100360600
9/21/2018,293.089996,293.220001,291.809998,291.98999,105479700
9/24/2018,291.339996,291.5,290.369995,291.019989,53409600
9/25/2018,291.529999,291.649994,290.480011,290.75,44370000
9/26/2018,290.910004,292.23999,289.410004,289.880005,79739700
9/27/2018,290.410004,291.910004,290.100006,290.690002,59249500
9/28/2018,289.98999,291.279999,289.950012,290.720001,70091400
10/1/2018,292.109985,292.929993,290.980011,291.730011,62078900
10/2/2018,291.559998,292.359985,291.140015,291.559998,47258200
10/3/2018,292.73999,293.209991,291.320007,291.720001,64694600
10/4/2018,291.179993,291.23999,287.660004,289.440002,111545900
10/5/2018,289.690002,290.269989,286.220001,287.820007,105951700
10/8/2018,287.049988,288.220001,285.5,287.820007,87742200
10/9/2018,287.390015,288.859985,286.769989,287.399994,74339000
10/10/2018,286.829987,286.910004,277.880005,278.299988,214731000
10/11/2018,277.079987,278.899994,270.359985,272.170013,274840500
10/12/2018,276.769989,277.089996,272.369995,275.950012,183186500
10/15/2018,275.549988,277.040009,274.299988,274.399994,102263700
10/16/2018,276.600006,280.820007,276.070007,280.399994,118255800
10/17/2018,280.440002,281.149994,277.559998,280.450012,110626000
10/18/2018,279.399994,280.070007,274.970001,276.399994,134557500
10/19/2018,277.130005,279.299988,275.470001,276.25,139901600
10/22/2018,277,277.359985,274.410004,275.01001,82415800
10/23/2018,270.950012,274.869995,268.609985,273.609985,146352700
10/24/2018,273.329987,273.76001,264.700012,265.320007,177806700
10/25/2018,267.380005,271.809998,266.230011,270.079987,138061500
10/26/2018,265.920013,271,262.290009,265.329987,201574600
10/29/2018,268.799988,270.25,259.850006,263.859985,160749100
10/30/2018,263.670013,268.119995,263.119995,267.769989,157116000
10/31/2018,270.649994,273.230011,270.119995,270.630005,128296300
11/1/2018,271.600006,273.730011,270.380005,273.51001,99495000
11/2/2018,274.75,275.230011,269.589996,271.890015,122634100
11/5/2018,272.440002,274.01001,271.350006,273.390015,65622500
11/6/2018,273.320007,275.299988,273.25,275.119995,60085900
11/7/2018,277.559998,281.100006,277.079987,281.01001,102752100
11/8/2018,280.109985,281.220001,279.220001,280.5,65584900
11/9/2018,279.029999,279.23999,276.179993,277.76001,98812600
11/12/2018,277.190002,277.459991,271.98999,272.570007,99673600
11/13/2018,273.089996,275.329987,271.25,272.059998,98176600
11/14/2018,274.160004,274.609985,268.450012,270.200012,125335900
11/15/2018,268.779999,273.540009,267.01001,273.019989,135101400
11/16/2018,271.790009,274.75,271.209991,273.730011,126668000
11/19/2018,273.049988,273.380005,268.070007,269.100006,103061700
11/20/2018,265.359985,267,263.149994,264.119995,136021300
11/21/2018,265.859985,267.149994,265.01001,265.019989,75563700
11/23/2018,263.179993,264.820007,263.070007,263.25,42807900
11/26/2018,265.779999,267.75,265.339996,267.5,79981400
11/27/2018,266.339996,268.399994,265.660004,268.399994,75502400
11/28/2018,269.600006,274.579987,268.329987,274.579987,127629600
11/29/2018,273.709991,275.549988,272.429993,273.980011,82346400
11/30/2018,273.809998,276.279999,273.450012,275.649994,98204200
12/3/2018,280.279999,280.399994,277.51001,279.299988,103176300
12/4/2018,278.369995,278.850006,269.899994,270.25,177986000
12/6/2018,265.920013,269.970001,262.440002,269.839996,204185400
12/7/2018,269.459991,271.220001,262.630005,263.570007,161018900
12/10/2018,263.369995,265.160004,258.619995,264.070007,151445900
12/11/2018,267.660004,267.869995,262.480011,264.130005,121504400
12/12/2018,267.470001,269,265.369995,265.459991,97976700
12/13/2018,266.519989,267.48999,264.119995,265.369995,96662700
12/14/2018,262.959991,264.029999,259.850006,260.470001,116961100
12/17/2018,259.399994,260.649994,253.529999,255.360001,165492300
12/18/2018,257.200012,257.950012,253.279999,255.080002,134515100
12/19/2018,255.169998,259.399994,249.350006,251.259995,214992800
12/20/2018,249.860001,251.619995,244.649994,247.169998,252053400
12/21/2018,246.740005,249.710007,239.979996,240.699997,255345600
12/24/2018,239.039993,240.839996,234.270004,234.339996,147311600
12/26/2018,235.970001,246.179993,233.759995,246.179993,218485400
12/27/2018,242.570007,248.289993,238.960007,248.070007,186267300
12/28/2018,249.580002,251.399994,246.449997,247.75,153100200
12/31/2018,249.559998,250.190002,247.470001,249.919998,144299400
1/2/2019,245.979996,251.210007,245.949997,250.179993,126925200
1/3/2019,248.229996,248.570007,243.669998,244.210007,144140700
1/4/2019,247.589996,253.110001,247.169998,252.389999,142628800
1/7/2019,252.690002,255.949997,251.690002,254.380005,103139100
1/8/2019,256.820007,257.309998,254,256.769989,102512600
1/9/2019,257.559998,258.910004,256.190002,257.970001,95006600
1/10/2019,256.26001,259.160004,255.5,258.880005,96823900
1/11/2019,257.679993,259.01001,257.029999,258.980011,73858100
1/14/2019,256.859985,258.299988,256.410004,257.399994,70908200
1/15/2019,257.820007,260.700012,257.809998,260.350006,85208300
1/16/2019,260.829987,261.970001,260.600006,260.980011,77636700
1/17/2019,260.01001,263.920013,259.959991,262.959991,96118400
1/18/2019,264.980011,266.980011,263,266.459991,127900300
1/22/2019,264.820007,265.059998,261.059998,262.859985,115531200
1/23/2019,264.01001,264.790009,260.660004,263.410004,86030300
1/24/2019,263.209991,264.200012,262.079987,263.549988,59204100
1/25/2019,265.609985,266.700012,263.660004,265.779999,96883400
1/28/2019,263.390015,263.829987,261.790009,263.76001,85613700
1/29/2019,263.920013,264.549988,262.480011,263.410004,66136300
1/30/2019,265.100006,268.519989,264.25,267.579987,92473700
1/31/2019,267.51001,270.470001,267.269989,269.929993,104012100
2/1/2019,270.149994,271.200012,269.179993,270.059998,85782500
2/4/2019,270.109985,272.029999,269.359985,271.959991,60744800
2/5/2019,272.440002,273.440002,271.880005,273.100006,79552800
2/6/2019,272.790009,273.339996,271.920013,272.73999,58347800
2/7/2019,270.940002,271.549988,268.290009,270.140015,95482000
2/8/2019,268.75,270.579987,267.829987,270.470001,75788900
2/11/2019,271.200012,271.48999,270.029999,270.619995,68021400
2/12/2019,272.420013,274.519989,272.339996,274.100006,72270200
